HOME	AWAY	SCORE1	SCORE2	GAME
Panathinaikos	Olympiakos	33	79	1
Niki Leukadas	Esperides	75	64	1
Panathlitikos	Olympiakos Volou	57	54	1
Proteas Voulas	PAOK	71	73	1
Athinaikos	Faros Keratsiniou	50	67	1
Panionios	Dafni Ag. Dimitriou	79	71	1
Olympiakos	Niki Leukadas	67	53	2
Olympiakos Volou	Panathinaikos	70	53	2
PAOK	Panathlitikos	84	80	2
Esperides	Panionios	59	61	2
Dafni Ag. Dimitriou	Athinaikos	65	58	2
Faros Keratsiniou	Proteas Voulas	66	59	2
Panathinaikos	PAOK	53	61	3
Niki Leukadas	Olympiakos Volou	75	45	3
Panathlitikos	Faros Keratsiniou	61	65	3
Proteas Voulas	Dafni Ag. Dimitriou	75	68	3
Athinaikos	Panionios	66	79	3
Esperides	Olympiakos	59	102	3
Athinaikos	Esperides	73	58	4
Panionios	Proteas Voulas	79	62	4
Dafni Ag. Dimitriou	Panathlitikos	68	49	4
PAOK	Niki Leukadas	64	72	4
Faros Keratsiniou	Panathinaikos	65	36	4
Olympiakos Volou	Olympiakos	50	106	4
Niki Leukadas	Faros Keratsiniou	58	67	5
Panathlitikos	Panionios	33	58	5
Esperides	Olympiakos Volou	52	42	5
Olympiakos	PAOK	115	56	5
Panathinaikos	Dafni Ag. Dimitriou	49	78	5
Proteas Voulas	Athinaikos	68	84	5
Panionios	Panathinaikos	71	31	6
Proteas Voulas	Esperides	51	64	6
Faros Keratsiniou	Olympiakos	58	70	6
PAOK	Olympiakos Volou	83	70	6
Dafni Ag. Dimitriou	Niki Leukadas	67	52	6
Athinaikos	Panathlitikos	79	67	6
Niki Leukadas	Panionios	66	69	7
Panathlitikos	Proteas Voulas	49	60	7
Olympiakos	Dafni Ag. Dimitriou	100	58	7
Esperides	PAOK	82	78	7
Panathinaikos	Athinaikos	50	79	7
Olympiakos Volou	Faros Keratsiniou	72	86	7
Proteas Voulas	Panathinaikos	77	46	8
Panathlitikos	Esperides	60	64	8
Dafni Ag. Dimitriou	Olympiakos Volou	77	62	8
Faros Keratsiniou	PAOK	74	51	8
Athinaikos	Niki Leukadas	93	62	8
Panionios	Olympiakos	64	82	8
Panathinaikos	Panathlitikos	50	87	9
Olympiakos	Athinaikos	101	42	9
Niki Leukadas	Proteas Voulas	64	63	9
Esperides	Faros Keratsiniou	55	75	9
Olympiakos Volou	Panionios	65	74	9
PAOK	Dafni Ag. Dimitriou	58	60	9
Panathlitikos	Niki Leukadas	71	67	10
Panathinaikos	Esperides	48	68	10
Proteas Voulas	Olympiakos	50	79	10
Panionios	PAOK	65	62	10
Dafni Ag. Dimitriou	Faros Keratsiniou	66	72	10
Athinaikos	Olympiakos Volou	86	66	10
PAOK	Athinaikos	82	74	11
Esperides	Dafni Ag. Dimitriou	80	63	11
Olympiakos	Panathlitikos	97	52	11
Niki Leukadas	Panathinaikos	74	43	11
Faros Keratsiniou	Panionios	58	52	11
Olympiakos Volou	Proteas Voulas	64	85	11
Olympiakos	Panathinaikos	102	29	12
Esperides	Niki Leukadas	56	69	12
Olympiakos Volou	Panathlitikos	76	71	12
PAOK	Proteas Voulas	70	65	12
Dafni Ag. Dimitriou	Panionios	63	60	12
Faros Keratsiniou	Athinaikos	82	65	12
Panathinaikos	Olympiakos Volou	53	67	13
Niki Leukadas	Olympiakos	60	75	13
Panathlitikos	PAOK	70	84	13
Proteas Voulas	Faros Keratsiniou	62	68	13
Athinaikos	Dafni Ag. Dimitriou	73	66	13
Panionios	Esperides	62	60	13
